id,mode,oracle_tick,center,lower,upper,attacker_edge,offset,overlap_factor
105,chaos,-520364,-515830,-516030,-515630,4534,4534,0
106,chaos,-520364,-521030,-521230,-520830,666,-666,0
107,chaos,-520364,-523550,-523750,-523350,3186,-3186,0
108,chaos,-520364,-522060,-522260,-521860,1696,-1696,0
109,chaos,-520364,-524260,-524460,-524060,3896,-3896,0
110,chaos,-520364,-519720,-519920,-519520,644,644,0
111,chaos,-520364,-517570,-517770,-517370,2794,2794,0
112,chaos,-520364,-521140,-521340,-520940,776,-776,0
113,chaos,-520364,-518650,-518850,-518450,1714,1714,0
114,chaos,-520364,-523860,-524060,-523660,3496,-3496,0
115,chaos,-520364,-523950,-524150,-523750,3586,-3586,0
116,chaos,-520364,-516490,-516690,-516290,3874,3874,0
117,chaos,-520364,-520010,-520210,-519810,354,354,0.125
118,chaos,-520364,-517840,-518040,-517640,2524,2524,0
119,chaos,-520364,-519760,-519960,-519560,604,604,0
120,chaos,-520364,-523790,-523990,-523590,3426,-3426,0
121,chaos,-520364,-515740,-515940,-515540,4624,4624,0
122,chaos,-520364,-525170,-525370,-524970,4806,-4806,0
123,chaos,-520364,-522780,-522980,-522580,2416,-2416,0
124,chaos,-520364,-523230,-523430,-523030,2866,-2866,0
125,chaos,-520364,-515710,-515910,-515510,4654,4654,0
126,chaos,-520364,-525000,-525200,-524800,4636,-4636,0
127,chaos,-520364,-523720,-523920,-523520,3356,-3356,0
128,chaos,-520364,-518080,-518280,-517880,2284,2284,0
129,chaos,-520364,-523690,-523890,-523490,3326,-3326,0
130,chaos,-520364,-519260,-519460,-519060,1104,1104,0
131,chaos,-520364,-521550,-521750,-521350,1186,-1186,0
132,chaos,-520364,-517330,-517530,-517130,3034,3034,0
133,chaos,-520364,-521740,-521940,-521540,1376,-1376,0
134,chaos,-520364,-521920,-522120,-521720,1556,-1556,0
135,chaos,-520364,-522050,-522250,-521850,1686,-1686,0
136,chaos,-520364,-522860,-523060,-522660,2496,-2496,0
137,chaos,-520364,-521070,-521270,-520870,706,-706,0
138,chaos,-520364,-516640,-516840,-516440,3724,3724,0
139,chaos,-520364,-524160,-524360,-523960,3796,-3796,0
140,chaos,-520364,-525040,-525240,-524840,4676,-4676,0
141,chaos,-520364,-524620,-524820,-524420,4256,-4256,0
142,chaos,-520364,-521490,-521690,-521290,1126,-1126,0
143,chaos,-520364,-522340,-522540,-522140,1976,-1976,0
144,chaos,-520364,-515970,-516170,-515770,4394,4394,0
145,chaos,-520364,-525180,-525380,-524980,4816,-4816,0
146,chaos,-520364,-524660,-524860,-524460,4296,-4296,0
147,chaos,-520364,-523690,-523890,-523490,3326,-3326,0
148,chaos,-520364,-516610,-516810,-516410,3754,3754,0
149,chaos,-520364,-515660,-515860,-515460,4704,4704,0
